"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","ppm","mzminexp","mzmaxexp","ppmexp"
"CP409",126.951351870766,126.949447927878,126.951957736851,1546.587,1530.618,1556.56699999998,5789.65047661909,5767.78210717748,1146.41247558594,50,1,9.88492416782447,126.948812843729,126.953890897803,39.9999999998767
"CP251",126.972957204043,126.972531872332,126.973564415473,322.96300000002,304.00000000002,346.91599999998,235366.879753573,204553.424596087,7797.00244140625,29,1,4.06599627168466,126.970417744899,126.975496663187,40.0000000000098
"CP151",128.035309807921,128.03499509099,128.035802077199,705.21700000002,692.24299999998,732.165,276320.329810425,268207.191758897,13901.6669921875,45,1,3.15142053817568,128.032749101725,128.037870514117,39.99999999986
"CP543",129.021558426094,129.021281695628,129.021866449146,1779.13300000002,1731.22600000002,1861.974,3453168.5882483,3416426.74858525,43372.09375,132,1,2.26610779602045,129.018977994925,129.024138857262,39.9999999998268
"CP544",129.021590036445,129.021438490672,129.021726886433,1803.08599999998,1788.11500000002,1845.00700000002,1778874.76227385,1761200.36468747,43372.09375,132,1,1.11762597840875,129.019009604644,129.024170468245,39.9999999999118
"CP153",129.021756310522,129.020628245197,129.024971031295,754.122,743.14300000002,766.098,26721.4158112103,26101.6270491726,3411.17260742188,34,1,16.8296658734385,129.019175875396,129.024971031295,44.9161138743335
"CP457",130.99523961203,130.994892183845,130.995817109392,1542.594,1524.62899999998,1559.56099999998,205619.597214802,176685.947633346,31975.490234375,36,1,3.53037846890788,130.992619707238,130.997859516823,39.9999999999967
"CP063",131.037369277027,131.037001166459,131.037623288614,518.58100000002,494.628,540.53800000002,411205.134362514,406067.471981761,19470.27734375,101,1,2.37383487702264,131.034748529641,131.039990024413,39.9999999999167
"CP026",132.039424387647,132.037787557202,132.040645351276,519.57896875002,503.61100000002,530.55799999998,28579.6997779749,28456.5741765446,1938.31811523438,31,1,10.8217454259835,132.036783599159,132.042065176134,39.9999999999987
"CP555",133.016471520864,133.016300277419,133.016812654227,1738.21300000002,1730.22799999998,1763.16400000002,1016380.79991695,1001369.67172704,52923.09375,117,1,1.92599007247923,133.013811191434,133.019131850295,39.9999999999264
"CP554",133.016506643034,133.016196432739,133.016771122651,1865.96599999998,1769.15200000002,1935.82999999998,2328585.80929213,2254412.33980281,26277.875,49,1,2.16022028267378,133.013846312901,133.019166973167,39.9999999999137
"CP553",133.016745322937,133.01653449009,133.017037058176,1707.273,1688.31,1725.23800000002,2963364.08540702,2946587.0522735,120176.28125,247,1,1.88911586028389,133.014084988031,133.019405657843,39.9999999998921
"CP552",133.016973450505,133.016680507815,133.017167899611,1539.6,1520.637,1559.56099999998,101134415.990647,101119405.002693,8658869,17887,1,1.83206617579192,133.014313111036,133.019633789974,39.9999999998902
"CP238",134.002308390662,134.002018743383,134.002603236091,335.937,317.97199999998,366.87700000002,395149.715761444,323207.396337887,11487.634765625,25,1,2.18090537055377,133.999628344494,134.004988436829,39.9999999999622
"CP472",134.019460629305,134.018601883803,134.020727137957,1741.20700000002,1725.23800000002,1754.181,62926.7697893641,62726.0996039144,3662.56689453125,65,1,7.92890131105013,134.016780240092,134.022141018518,39.9999999999912
"CP471",134.019868130124,134.019064667059,134.020397920445,1707.273,1688.31,1725.23800000002,142863.205597629,142600.253301722,6047.70654296875,115,1,4.97408856082838,134.017187732762,134.022548527487,39.9999999999025
"CP470",134.020249916972,134.02003781437,134.020370861002,1539.6,1529.62000000002,1559.56099999998,3842006.11259757,3841798.52298963,320990.21875,6123,1,1.24252354667171,134.017569511973,134.02293032197,39.9999999998559
"CP444",135.021213769251,135.02095375931,135.023134839944,1539.6,1529.62000000002,1559.56099999998,931164.230496334,918853.740827305,78616.53125,110,1,8.07680724019688,135.018513344976,135.023914193527,39.9999999998479
"CP431",136.023976129455,136.02066109775,136.024904250128,1539.6,1529.62000000002,1560.55900000002,52478.3644944026,50296.7590026084,4142.53857421875,22,1,15.5970752308023,136.02066109775,136.026696608978,44.3709366528281
"CP373",136.999732174193,136.997101891024,137.000765694884,1543.59199999998,1538.60200000002,1559.56099999998,60182.0930664317,59911.5653879654,8610.5908203125,25,1,13.3715730735133,136.996992179549,137.002472168836,39.9999999998994
"CP342",139.004055792144,139.003784731268,139.004287266208,1533.612,1529.62000000002,1538.60200000002,49131.3115759276,49123.3275759276,14980.1591796875,14979,1,1.80762689960162,139.001275711029,139.00683587326,40.0000000000198
"CP069",143.037350098239,143.037091640258,143.037583358862,518.58100000002,495.62599999998,540.53800000002,817199.321688446,814978.688044225,39064.0859375,256,1,1.71884687361459,143.034489351237,143.040210845241,39.9999999999445
"CP231",144.030177005156,144.029726330934,144.030684903577,816.999,797.03800000002,858.91999999998,321518.386100053,312495.703535507,11803.818359375,61,1,3.32767987397909,144.027296401616,144.033057608696,39.9999999998441
"CP043",144.040767202612,144.040023539528,144.041580460913,517.58299999998,497.622,540.53800000002,57985.6326594084,57762.4130808561,2996.20971679688,72,1,5.40444700317742,144.037886387268,144.043648017956,39.9999999998616
"CP437",145.017956880885,145.015170091008,145.018756520485,1543.59199999998,1518.64099999998,1571.538,213422.589832149,207795.586911352,33851.4296875,130,1,12.3654668511091,145.015056521747,145.020857240023,39.9999999999274
"CP530",147.032262032304,147.031919935696,147.032779770472,1780.131,1727.23399999998,1860.97600000002,1142340.43280967,1099612.21034718,14734.2431640625,57,1,2.92396635807575,147.029321387064,147.035202677545,39.999999999944
"CP066",149.047991556927,149.047693323177,149.048434642408,518.58100000002,494.628,540.53800000002,327872.720332446,325674.845352178,15832.1689453125,131,1,2.48684743273307,149.045010597096,149.050972516758,39.9999999999465
"CP112",149.057946249929,149.056692985538,149.06040517613,685.25599999998,672.28099999998,703.221,43855.3658154384,43604.3693856827,4316.49609375,82,1,12.452172746066,149.054965091004,149.060927408854,39.9999999999648
"CP537",149.9968334386,149.996411170567,149.997101428513,732.165,705.21700000002,763.104,1201486.03104665,1174031.1562314,24498.556640625,82,1,2.30090839232817,149.993833501931,149.999833375269,39.999999999998
"CP535",149.99700722332,149.99674810836,149.997359425431,402.807,352.90399999998,518.58100000002,10934026.6994363,10856315.249512,84744.5546875,288,1,2.03776422560899,149.994007283175,150.000007163464,39.9999999999508
"CP536",149.997039129151,149.996503147444,149.997413271395,661.30300000002,611.4,705.21700000002,2735668.59418128,2691461.52736626,39750.70703125,118,1,3.03380638891747,149.994039188369,150.000039069934,39.9999999998624
"CP534",149.997053345646,149.996898793062,149.997223729548,308.98999999998,300.00700000002,341.92600000002,1758782.18837667,1738772.3082966,48740.8515625,165,1,1.08314289673622,149.99405340458,150.000053286713,39.9999999998741
"CP367",150.988317937635,150.986708692406,150.990733910615,1541.59600000002,1537.60399999998,1546.587,15155.948535217,15147.9636463281,2832.48583984375,2831,1,13.3295683536612,150.985298171276,150.991337703993,39.9999999999277
"CP349",151.017333167467,151.017123780703,151.017561995297,450.71299999998,391.82800000002,526.566,5902322.54525968,5484345.40901808,54710.890625,84,1,1.45087515663527,151.014312820803,151.02035351413,39.999999999983
"CP350",151.017443465258,151.017179206985,151.017695543006,311.98399999998,300.00700000002,312.98200000002,454563.518351862,411535.698709354,46618.6484375,71,1,1.70952443824668,151.014423116389,151.020463814128,39.9999999999187
"CP348",151.017486892825,151.017179206985,151.017799091924,341.92600000002,300.00700000002,391.82800000002,3778471.3938015,3492650.19981162,63019.0078125,97,1,2.05236145697719,151.014466543087,151.020507242563,39.9999999999438
"CP137",157.125751825254,157.125004956155,157.126610298242,573.474,555.50899999998,591.43900000002,210824.972640141,187616.261409126,24734.720703125,101,1,5.10846270967,157.122609310217,157.12889434029,39.9999999999479
"CP132",158.048425003993,158.04506861861,158.04990024184,704.21899999998,696.23500000002,719.19,24667.6074907502,24452.6761492782,2409.50415039062,47,1,15.2852621921121,158.04506861861,158.051585972493,41.2364367669545
"CP541",158.928601167395,158.926319730117,158.929917759294,2159.39599999998,2151.41200000002,2177.361,27648.0551275054,27470.8803895606,3025.720703125,52,1,11.3196402347652,158.925422595371,158.931779739418,39.9999999999557
"CP311",158.941487741371,158.941142267268,158.942009114217,1235.18899999998,1217.22400000002,1262.136,278633.149400473,266502.345892857,9600.1728515625,28,1,2.72693731704885,158.938308911616,158.944666571126,39.9999999998574
"CP293",160.937350945841,160.935927568908,160.93860802111,1235.18899999998,1220.21800000002,1261.13800000002,78682.3987129329,76601.4842882758,3666.17065429688,27,1,8.32762620566008,160.934132198822,160.94056969286,40.0000000000395
"CP081",161.048064401475,161.047862757687,161.048274567334,518.58100000002,494.628,540.53800000002,1456168.36943739,1447351.87865115,70204.828125,281,1,1.27853026013284,161.044843440187,161.051285362763,39.9999999999104
"CP522",161.962063073039,161.960490911972,161.96330325176,2001.70399999998,1989.72700000002,2013.681,14295.5092201021,14273.5513867688,1580.18103027344,1579,1,8.68209423527082,161.958823831777,161.9653023143,39.9999999999181
"CP051",162.051370452295,162.050911829709,162.052233517152,518.58100000002,495.62599999998,540.53800000002,105157.005441359,104999.473134682,5190.70166015625,165,1,4.07798909446858,162.048129424886,162.054611479704,39.9999999998338
"CP029",163.052407743035,163.049740315536,163.055937405805,517.58299999998,501.61399999998,533.55199999998,20772.9183278103,20429.5565028153,1303.45446777344,21,1,19.0033693889213,163.04914669488,163.055937405805,41.6474127464499
"CP240",164.980854621304,164.980449312586,164.98139534181,852.93199999998,816.999,907.82500000002,669451.643891723,597137.654727241,11608.5654296875,29,1,2.86708789713347,164.977555004211,164.984154238396,39.9999999999694
"CP442",165.021922016277,165.020733179273,165.023741803327,1556.56699999998,1543.59199999998,1575.52999999998,83690.0045917977,79402.5420865052,8909.5029296875,41,1,9.11583145257494,165.018621577836,165.025222454717,39.9999999999318
"CP216",166.013164829604,166.012173925746,166.015508447476,825.98200000002,793.04599999998,866.904,176908.508215134,172448.942512801,5433.2763671875,21,1,10.0429436807705,166.009844566307,166.0164850929,39.9999999999358
"CP002",166.027340378152,166.025254665601,166.028616101851,355.89799999998,326.955,394.82200000002,156351.197724196,156282.332680078,3898.49682617188,3897,1,10.1231406880896,166.024019831345,166.03066092496,39.9999999999379
"CP001",166.028013204444,166.027068770175,166.029457815895,306.99400000002,300.00700000002,326.955,62636.5592623413,62608.6131882673,3678.24047851562,3677,1,7.19470670499709,166.02469264418,166.031333764708,39.999999999968
"CP108",166.064743770459,166.063085910059,166.066048001471,685.25599999998,675.276,697.233,34005.9402386003,33971.3047766216,3084.7890625,161,1,8.91848367390905,166.061422475583,166.068065065334,39.9999999999564
"CP236",166.960104018328,166.959192972504,166.960680869536,858.91999999998,814.005,918.80299999998,454438.140686927,400180.312875274,7290.9833984375,28,1,4.45584602633226,166.956764816248,166.963443220409,40.0000000000275
"CP125",167.06833925936,167.067976686161,167.068842596156,684.258,669.28699999998,704.21899999998,558097.997563425,557210.377952755,51529.92578125,586,1,2.59148441435078,167.064997892575,167.071680626145,39.9999999999011
"CP486",169.002828297055,169.001868566091,169.004000758743,1777.137,1742.205,1826.04400000002,421559.168410658,413470.768422135,10554.392578125,40,1,6.30815671530014,168.999448240489,169.006208353621,39.9999999998751
